phase,gemm_backend,batch_size,prompt_len,repeats,avg_ms,p50_ms,p99_ms,min_ms,max_ms,tokens_per_sec,latency_per_token_ms
decode,optimized,1,512,10,22.8049,22.7905,22.9378,22.6769,22.9438,43.8502,22.8049
decode,optimized,2,512,10,23.1373,23.2096,23.2848,22.903,23.2869,86.4406,11.5686
decode,optimized,4,512,10,22.5683,22.5804,22.6101,22.504,22.6114,177.24,5.64208
decode,optimized,8,512,10,23.4865,23.4277,24.1092,23.2185,24.1671,340.621,2.93581
